course_id,course_name,rating,workload,difficulty
CS-6035,Intro to Information Security,5,10,2
CS-6035,Intro to Information Security,4,12,2
CS-6035,Intro to Information Security,4,20,2
CS-6035,Intro to Information Security,4,8,2
CS-6035,Intro to Information Security,2,12,3
CS-6035,Intro to Information Security,5,12,3
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,1,3,2
CS-6035,Intro to Information Security,4,4,1
CS-6035,Intro to Information Security,5,10,2
CS-6035,Intro to Information Security,4,11,2
CS-6035,Intro to Information Security,1,20,4
CS-6035,Intro to Information Security,4,15,3
CS-6035,Intro to Information Security,4,10,1
CS-6035,Intro to Information Security,2,2,1
CS-6035,Intro to Information Security,4,8,2
CS-6035,Intro to Information Security,4,5,1
CS-6035,Intro to Information Security,5,5,2
CS-6035,Intro to Information Security,4,6,2
CS-6035,Intro to Information Security,4,6,2
CS-6035,Intro to Information Security,5,3,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,2,10,3
CS-6035,Intro to Information Security,3,10,3
CS-6035,Intro to Information Security,4,15,3
CS-6035,Intro to Information Security,3,12,3
CS-6035,Intro to Information Security,3,8,2
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,3,5,1
CS-6035,Intro to Information Security,2,12,3
CS-6035,Intro to Information Security,4,8,2
CS-6035,Intro to Information Security,1,5,2
CS-6035,Intro to Information Security,1,5,3
CS-6035,Intro to Information Security,4,3,1
CS-6035,Intro to Information Security,3,5,3
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,5,12,3
CS-6035,Intro to Information Security,5,18,3
CS-6035,Intro to Information Security,4,8,3
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,5,12,3
CS-6035,Intro to Information Security,4,8.5,2
CS-6035,Intro to Information Security,3,10,4
CS-6035,Intro to Information Security,5,10,2
CS-6035,Intro to Information Security,3,30,5
CS-6035,Intro to Information Security,3,10,2
CS-6035,Intro to Information Security,5,2,1
CS-6035,Intro to Information Security,5,8,1
CS-6035,Intro to Information Security,3,5,2
CS-6035,Intro to Information Security,2,20,3
CS-6035,Intro to Information Security,5,10,3
CS-6035,Intro to Information Security,3,6,2
CS-6035,Intro to Information Security,4,5,2
CS-6035,Intro to Information Security,3,20,2
CS-6035,Intro to Information Security,2,10,2
CS-6035,Intro to Information Security,4,6,2
CS-6035,Intro to Information Security,2,15,3
CS-6035,Intro to Information Security,3,10,3
CS-6035,Intro to Information Security,4,15,3
CS-6035,Intro to Information Security,3,10,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,5,13.3,3
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,4,5,2
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,NULL,4,2
CS-6035,Intro to Information Security,2,3,1
CS-6035,Intro to Information Security,1,8,3
CS-6035,Intro to Information Security,3,2,2
CS-6035,Intro to Information Security,4,3,2
CS-6035,Intro to Information Security,5,8,3
CS-6035,Intro to Information Security,5,6,2
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,NULL,10,3
CS-6035,Intro to Information Security,5,10,3
CS-6035,Intro to Information Security,5,6,3
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,1,5,2
CS-6035,Intro to Information Security,4,5,1
CS-6035,Intro to Information Security,4,20,3
CS-6035,Intro to Information Security,3,10,2
CS-6035,Intro to Information Security,3,8,3
CS-6035,Intro to Information Security,4,8,3
