course_id,course_name,rating,workload,difficulty
CS-6601,Artificial Intelligence,5.0,24.0,5.0
CS-6601,Artificial Intelligence,4.0,15.0,3.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,12.0,4.0
CS-6601,Artificial Intelligence,5.0,30.0,5.0
CS-6601,Artificial Intelligence,5.0,15.0,4.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,15.0,4.0
CS-6601,Artificial Intelligence,2.0,35.0,5.0
CS-6601,Artificial Intelligence,4.0,30.0,5.0
CS-6601,Artificial Intelligence,4.0,20.0,4.0
CS-6601,Artificial Intelligence,4.0,40.0,5.0
CS-6601,Artificial Intelligence,4.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,16.0,3.0
CS-6601,Artificial Intelligence,5.0,25.0,4.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,10.0,3.0
CS-6601,Artificial Intelligence,1.0,30.0,3.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,40.0,4.0
CS-6601,Artificial Intelligence,4.0,30.0,5.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,10.0,2.0
CS-6601,Artificial Intelligence,4.0,25.0,4.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,30.0,4.0
CS-6601,Artificial Intelligence,5.0,12.0,3.0
CS-6601,Artificial Intelligence,4.0,30.0,4.0
CS-6601,Artificial Intelligence,4.0,30.0,5.0
CS-6601,Artificial Intelligence,4.0,8.0,4.0
CS-6601,Artificial Intelligence,3.0,22.0,5.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,4.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,20.0,5.0
CS-6601,Artificial Intelligence,2.0,15.0,5.0
CS-6601,Artificial Intelligence,4.0,8.0,3.0
CS-6601,Artificial Intelligence,5.0,5.0,2.0
CS-6601,Artificial Intelligence,2.0,30.0,5.0
CS-6601,Artificial Intelligence,3.0,16.0,5.0
CS-6601,Artificial Intelligence,5.0,25.0,4.0
CS-6601,Artificial Intelligence,4.0,40.0,5.0
CS-6601,Artificial Intelligence,5.0,15.0,4.0
CS-6601,Artificial Intelligence,5.0,18.0,4.0
CS-6601,Artificial Intelligence,4.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,20.0,5.0
CS-6601,Artificial Intelligence,5.0,21.0,5.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,4.0,20.0,5.0
CS-6601,Artificial Intelligence,5.0,12.0,3.0
CS-6601,Artificial Intelligence,5.0,30.0,5.0
CS-6601,Artificial Intelligence,4.0,30.0,5.0
CS-6601,Artificial Intelligence,5.0,10.0,4.0
CS-6601,Artificial Intelligence,2.0,32.0,5.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,4.0,15.0,4.0
CS-6601,Artificial Intelligence,4.0,23.0,4.0
CS-6601,Artificial Intelligence,4.0,50.0,5.0
CS-6601,Artificial Intelligence,5.0,20.0,5.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,4.0,24.0,4.0
CS-6601,Artificial Intelligence,5.0,25.0,5.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,15.0,3.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,12.0,5.0
CS-6601,Artificial Intelligence,5.0,50.0,5.0
CS-6601,Artificial Intelligence,4.0,20.0,5.0
CS-6601,Artificial Intelligence,5.0,16.0,4.0
CS-6601,Artificial Intelligence,5.0,30.0,4.0
CS-6601,Artificial Intelligence,4.0,30.0,5.0
CS-6601,Artificial Intelligence,2.0,40.0,4.0
CS-6601,Artificial Intelligence,4.0,20.0,3.0
CS-6601,Artificial Intelligence,4.0,30.0,5.0
CS-6601,Artificial Intelligence,4.0,20.0,5.0
CS-6601,Artificial Intelligence,4.0,15.0,4.0
CS-6601,Artificial Intelligence,4.0,20.0,3.0
CS-6601,Artificial Intelligence,5.0,35.0,5.0
CS-6601,Artificial Intelligence,5.0,14.0,5.0
CS-6601,Artificial Intelligence,5.0,15.0,5.0
CS-6601,Artificial Intelligence,2.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,4.0,40.0,5.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,25.0,4.0
CS-6601,Artificial Intelligence,1.0,22.0,4.0
CS-6601,Artificial Intelligence,4.0,30.0,4.0
CS-6601,Artificial Intelligence,5.0,20.0,5.0
CS-6601,Artificial Intelligence,5.0,20.0,4.0
CS-6601,Artificial Intelligence,5.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,8.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,12.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,25.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,5.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,8.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,27.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,18.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,27.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,13.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,13.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,14.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,30.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,6.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,8.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,15.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,5.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,16.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,9.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,20.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,35.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,8.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,15.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,8.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,8.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,35.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,4.0,1.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,13.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,15.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,12.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,14.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,14.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,5.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,6.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,30.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,25.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,4.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,6.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,30.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,5.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,15.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,30.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,7.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,20.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,4.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,18.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,20.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,4.0,1.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,20.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,30.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,5.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,8.0,2.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,8.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,25.0,5.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,18.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,2.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,22.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,12.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,30.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,1.0,10.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,15.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,4.0,10.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,3.0,20.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,30.0,4.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,18.0,3.0
CS-8803-001,Artificial Intelligence for Robotics,5.0,13.0,4.0
ISYE-6420,Bayesian Statistics,5.0,5.0,2.0
ISYE-6420,Bayesian Statistics,4.0,8.0,4.0
ISYE-6420,Bayesian Statistics,2.0,10.0,3.0
ISYE-6420,Bayesian Statistics,3.0,10.0,2.0
ISYE-6420,Bayesian Statistics,1.0,15.0,3.0
ISYE-6420,Bayesian Statistics,3.0,4.0,2.0
ISYE-6420,Bayesian Statistics,3.0,8.0,3.0
ISYE-6420,Bayesian Statistics,4.0,18.0,2.0
ISYE-6420,Bayesian Statistics,4.0,11.0,2.0
ISYE-6420,Bayesian Statistics,4.0,10.0,2.0
ISYE-6420,Bayesian Statistics,5.0,5.0,2.0
ISYE-6420,Bayesian Statistics,4.0,6.0,1.0
ISYE-6420,Bayesian Statistics,4.0,8.0,3.0
ISYE-6420,Bayesian Statistics,4.0,10.0,3.0
ISYE-6420,Bayesian Statistics,1.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,25.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,30.0,4.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,4.0
CSE-6250,Big Data for Health Informatics,1.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,4.0
CSE-6250,Big Data for Health Informatics,3.0,30.0,4.0
CSE-6250,Big Data for Health Informatics,1.0,35.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,15.0,4.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,4.0
CSE-6250,Big Data for Health Informatics,5.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,2.0,35.0,5.0
CSE-6250,Big Data for Health Informatics,1.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,35.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,5.0,35.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,1.0,35.0,3.0
CSE-6250,Big Data for Health Informatics,4.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,4.0
CSE-6250,Big Data for Health Informatics,4.0,45.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,25.0,3.0
CSE-6250,Big Data for Health Informatics,4.0,30.0,4.0
CSE-6250,Big Data for Health Informatics,1.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,30.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,4.0
CSE-6250,Big Data for Health Informatics,4.0,20.0,4.0
CSE-6250,Big Data for Health Informatics,5.0,20.0,4.0
CSE-6250,Big Data for Health Informatics,5.0,35.0,5.0
CSE-6250,Big Data for Health Informatics,4.0,40.0,5.0
CSE-6250,Big Data for Health Informatics,3.0,20.0,3.0
MGT-6754,Business Fundamentals for Analytics,4.0,6.0,2.0
MGT-6754,Business Fundamentals for Analytics,4.0,8.0,3.0
MGT-6754,Business Fundamentals for Analytics,3.0,8.0,2.0
MGT-6754,Business Fundamentals for Analytics,3.0,8.0,2.0
MGT-6754,Business Fundamentals for Analytics,2.0,5.0,2.0
MGT-6754,Business Fundamentals for Analytics,4.0,12.0,2.0
MGT-6754,Business Fundamentals for Analytics,4.0,6.0,2.0
MGT-6754,Business Fundamentals for Analytics,1.0,6.0,4.0
MGT-6754,Business Fundamentals for Analytics,2.0,7.0,4.0
MGT-6754,Business Fundamentals for Analytics,2.0,4.0,2.0
MGT-6754,Business Fundamentals for Analytics,4.0,6.0,2.0
MGT-6754,Business Fundamentals for Analytics,3.0,7.0,3.0
MGT-6754,Business Fundamentals for Analytics,1.0,3.0,2.0
MGT-6754,Business Fundamentals for Analytics,1.0,10.0,4.0
MGT-6754,Business Fundamentals for Analytics,1.0,6.0,3.0
MGT-6754,Business Fundamentals for Analytics,4.0,10.0,2.0
MGT-6754,Business Fundamentals for Analytics,1.0,5.0,5.0
MGT-6754,Business Fundamentals for Analytics,4.0,3.0,2.0
MGT-6754,Business Fundamentals for Analytics,3.0,4.0,2.0
MGT-6754,Business Fundamentals for Analytics,1.0,3.0,5.0
MGT-6754,Business Fundamentals for Analytics,4.0,5.0,2.0
MGT-6754,Business Fundamentals for Analytics,2.0,2.0,3.0
MGT-6754,Business Fundamentals for Analytics,1.0,8.0,4.0
MGT-6754,Business Fundamentals for Analytics,4.0,12.0,2.0
MGT-6754,Business Fundamentals for Analytics,3.0,5.0,2.0
MGT-6754,Business Fundamentals for Analytics,4.0,8.0,3.0
MGT-6754,Business Fundamentals for Analytics,1.0,10.0,4.0
MGT-6754,Business Fundamentals for Analytics,2.0,6.0,3.0
MGT-6754,Business Fundamentals for Analytics,4.0,7.0,3.0
MGT-6754,Business Fundamentals for Analytics,2.0,10.0,4.0
MGT-6754,Business Fundamentals for Analytics,1.0,10.0,4.0
MGT-6754,Business Fundamentals for Analytics,3.0,3.5,3.0
MGT-6754,Business Fundamentals for Analytics,1.0,5.0,4.0
MGT-6754,Business Fundamentals for Analytics,3.0,5.0,2.0
MGT-6754,Business Fundamentals for Analytics,4.0,12.0,3.0
MGT-6754,Business Fundamentals for Analytics,1.0,4.0,3.0
MGT-6754,Business Fundamentals for Analytics,1.0,10.0,5.0
MGT-6754,Business Fundamentals for Analytics,3.0,2.0,2.0
MGT-6754,Business Fundamentals for Analytics,2.0,6.0,3.0
MGT-6754,Business Fundamentals for Analytics,2.0,6.0,3.0
MGT-6754,Business Fundamentals for Analytics,1.0,3.0,3.0
CS-8803-008,Compilers - Theory & Practice,5.0,25.0,4.0
CS-8803-008,Compilers - Theory & Practice,5.0,30.0,5.0
CS-8803-008,Compilers - Theory & Practice,4.0,25.0,3.0
CS-8803-008,Compilers - Theory & Practice,4.0,16.0,4.0
CS-8803-008,Compilers - Theory & Practice,4.0,25.0,4.0
CS-8803-008,Compilers - Theory & Practice,3.0,20.0,5.0
CS-8803-008,Compilers - Theory & Practice,4.0,20.0,5.0
CS-8803-008,Compilers - Theory & Practice,4.0,35.0,5.0
CS-8803-008,Compilers - Theory & Practice,5.0,20.0,4.0
CS-8803-008,Compilers - Theory & Practice,1.0,20.0,5.0
CS-8803-008,Compilers - Theory & Practice,2.0,30.0,4.0
CS-8803-008,Compilers - Theory & Practice,5.0,20.0,4.0
CS-8803-008,Compilers - Theory & Practice,4.0,25.0,4.0
CS-8803-008,Compilers - Theory & Practice,5.0,50.0,5.0
CS-8803-008,Compilers - Theory & Practice,4.0,30.0,5.0
CS-8803-008,Compilers - Theory & Practice,5.0,35.0,5.0
CS-8803-008,Compilers - Theory & Practice,5.0,30.0,5.0
CS-8803-008,Compilers - Theory & Practice,4.0,35.0,5.0
IYSE-6740,Computational Data Analysis,5.0,10.0,4.0
IYSE-6740,Computational Data Analysis,5.0,15.0,3.0
IYSE-6740,Computational Data Analysis,5.0,8.0,3.0
IYSE-6740,Computational Data Analysis,5.0,10.0,3.0
IYSE-6740,Computational Data Analysis,4.0,15.0,3.0
CS-6465,Computational Journalism,4.0,15.0,3.0
CS-6475,Computational Photography,4.0,10.0,2.0
CS-6475,Computational Photography,4.0,25.0,4.0
CS-6475,Computational Photography,5.0,25.0,3.0
CS-6475,Computational Photography,4.0,12.0,3.0
CS-6475,Computational Photography,4.0,15.0,4.0
CS-6475,Computational Photography,1.0,20.0,4.0
CS-6475,Computational Photography,4.0,5.0,2.0
CS-6475,Computational Photography,4.0,13.0,3.0
CS-6475,Computational Photography,4.0,10.0,4.0
CS-6475,Computational Photography,5.0,8.0,3.0
CS-6475,Computational Photography,3.0,8.0,2.0
CS-6475,Computational Photography,3.0,18.0,3.0
CS-6475,Computational Photography,5.0,10.0,4.0
CS-6475,Computational Photography,5.0,20.0,4.0
CS-6475,Computational Photography,5.0,15.0,4.0
CS-6475,Computational Photography,4.0,25.0,2.0
CS-6475,Computational Photography,1.0,20.0,3.0
CS-6475,Computational Photography,4.0,10.0,3.0
CS-6475,Computational Photography,5.0,15.0,3.0
CS-6475,Computational Photography,1.0,15.0,3.0
CS-6475,Computational Photography,1.0,12.0,3.0
CS-6475,Computational Photography,4.0,15.0,3.0
CS-6475,Computational Photography,4.0,30.0,4.0
CS-6475,Computational Photography,4.0,15.0,4.0
CS-6475,Computational Photography,1.0,8.0,3.0
CS-6475,Computational Photography,2.0,15.0,3.0
CS-6475,Computational Photography,5.0,18.0,3.0
CS-6475,Computational Photography,5.0,15.0,3.0
